CustomerID,CustomerName,Email,Phone
C001,John Smith,john.smith@example.com,555-1234
C002,Sarah Johnson,sarah.j@example.com,555-5678
C003,Michael Lee,michael.lee@example.com,555-9012
C004,Emily Davis,emily.d@example.com,555-3456
C005,Daniel Martinez,daniel.m@example.com,555-7890
C006,Linda Brown,linda.b@example.com,555-2345
C007,James Wilson,james.w@example.com,555-6789
C008,Olivia Garcia,olivia.g@example.com,555-0123
C009,William Miller,william.m@example.com,555-4567
C010,Sophia Anderson,sophia.a@example.com,555-8901
