OrderID,Product,QuantityOrdered,PriceEach,OrderDate,CustomerName
1001,Bose Headphones,1,$99.99,2023-01-15,John Smith
1002,Google Phone,2,$600,15/02/2023,Anna Lee
1003,,3,$11.99,2023/03/05,Michael Johnson
1004,Macbook Pro Laptop,,1700,2023-03-08,Jessica Davis
1005,ThinkPad Laptop,1,999.99,03-12-2023,Robert Brown
1006,AAA Batteries (4-pack),two,$2.99,2023-03-15,,
1007,Google Phone,2,$600,2023-03-18,Anna Lee
1007,Google Phone,2,$600,2023-03-18,Anna Lee
1008,USB-C Cable,1,$11.99,03/20/2023,Maria Garcia
,Lightning Cable,4,$14.95,2023-03-25,Chris Wilson
1010,AA Batteries (4-pack),3,$3.84,2023-03-28,John Smith
1011,27in 4K Monitor,1,389.99,2023-04-02,Emily Johnson
1012,Flatscreen TV,1,$300,04-10-2023,Peter Martinez
1013,LG Dryer,1,$600,2023-04-15,Robert Brown
